This Is Happening,LCD SOUNDSYSTEM,1900,2010,2010s,dance-rock,electro,Estados Unidos,indie rock,pop electrónico,post-punk,-,-,-,-,-,-,-
Xoriek 17,MIKEL LABOA,1900,2000s,2005,avant-garde,canción,en euskera,folk,jazz,jazz poetry,música experimental,poesía,post-hardcore,San Sebastián,spoken word,-,-
Pills'n'Thills And Bellyaches,HAPPY MONDAYS,1900,1990,1990s,dance-rock,indie rock,Inglaterra,Madchester,pop-rock,-,-,-,-,-,-,-,-
El sonido de los mapas,TRIPULANTE Y CRUCERO,1900,2010s,2012,afropop,indie pop,lo-fi,Madrid,pop,-,-,-,-,-,-,-,-
Helplessness Blues,FLEET FOXES,1900,2010s,2011,americana,Estados Unidos,folk-rock,indie folk,pop de cámara,pop-rock,-,-,-,-,-,-,-
Gran,SENIOR I EL COR BRUTAL,1900,2010s,2011,americana,en catalán,folk-rock,rock,Valencia,valenciana,-,-,-,-,-,-,-
Blues Funeral,MARK LANEGAN BAND,1900,2010s,2012,blues-rock,Estados Unidos,rock,-,-,-,-,-,-,-,-,-,-
La taille de mon âme,DANIEL DARC,1900,2010s,2011,Francia,pop,pop-rock,-,-,-,-,-,-,-,-,-,-
La nave de los locos,LOQUILLO,1900,2010s,2012,Barcelona,rock,San Sebastián,-,-,-,-,-,-,-,-,-,-
Echoes Of Silence,THE WEEKND,1900,2010s,2011,Canadá,R&B,-,-,-,-,-,-,-,-,-,-,-
Tempest,BOB DYLAN,1900,2010s,2012,americana,blues-rock,country-blues,Estados Unidos,folk-rock,rhythm'n'blues,rock,roots rock,-,-,-,-,-
Lookin' Out,TERRY CALLIER,1900,2000s,2004,folk-jazz,rhythm'n'blues,soul,soul-folk,soul-jazz,-,-,-,-,-,-,-,-
San Sebastian 2012,TINDERSTICKS,1900,2010s,2012,indie rock,Inglaterra,pop de cámara,pop-rock,San Sebastián,-,-,-,-,-,-,-,-
Pink Friday: Roman Reloaded,NICKI MINAJ,1900,2010s,2012,dance-pop,Estados Unidos,hip hop,R&B,-,-,-,-,-,-,-,-,-
Dub Setter / The Mighty Upsetter,LEE ?SCRATCH? PERRY...,1900,2000s,2009,2010,2010s,dub,Inglaterra,Jamaica,reggae,roots reggae,-,-,-,-,-,-
Here Before,THE FEELIES,1900,2010s,2011,Estados Unidos,indie rock,jangle pop,pop-rock,rock,-,-,-,-,-,-,-,-
